base,prime_factors,radical,phi_over_b,candidate_count_exact,candidate_density_exact,relative_candidate_sites_vs_odd,kl_from_uniform_bits,normalized_entropy,reduced_chi2,max_prime_rate_lift,min_prime_rate_lift,lift_cv,excess_transition_js,excess_internal_js,excess_digit_sum_js
64,2,2,0.5,49999999,0.499999995,0.99999999,7.711435814113458e-07,0.9999998791396476,0.0987786508322748,1.002397428885573,0.9983612481759452,0.001033892563824,0.0339105458186094,-0.0028459955889131,0.0007202623801357
65,5*13,65,0.7384615384615385,73846153,0.7384615373846153,1.4769230747692306,8.707938026208285e-07,0.9999998641519877,0.1075287586204399,1.0026524864363218,0.9979210460803832,0.0010987546022332,0.003218131692827,-0.002487197453701,0.5007871733742968
66,2*3*11,66,0.30303030303030304,30303029,0.3030302820303028,0.6060605860606056,7.422035292362409e-07,0.9999998863745913,0.0894056743611075,1.002354303653459,0.9983982175595876,0.0010136845890914,0.0316069454625391,-0.0029407654494562,0.0011595231708448
67,67,67,0.9850746268656716,98507462,0.9850746298507463,1.9701492597014927,9.171614194114838e-07,0.9999998590995504,0.1126771551340806,1.0023392191072462,0.9965319805888704,0.0011274493829798,-0.000681125065955,-0.002659620900601,0.5024295166680409
68,2*17,34,0.47058823529411764,47058822,0.4705882247058822,0.9411764494117643,8.857010686203033e-07,0.9999998652216596,0.1063466397908884,1.0027508746869068,0.9983243463821308,0.001107962504091,0.0331254598204687,-0.0029925053559642,0.0006809649210833
69,3*23,69,0.6376811594202898,63768115,0.6376811563768115,1.275362312753623,9.615392561280505e-07,0.9999998550607804,0.111083121037257,1.0027264235774474,0.998114994389044,0.0011545711145595,0.0112626214148537,-0.0030433069331141,0.3383886389176918
70,2*5*7,70,0.34285714285714286,34285713,0.3428571334285713,0.6857142668571425,7.414121859217416e-07,0.9999998870257524,0.0852911912020886,1.0021961173369518,0.9982675628141596,0.0010131413824502,0.0316517762349983,-0.003236947646339,0.0006333057341637
71,71,71,0.9859154929577465,98591548,0.9859154898591549,1.9718309797183098,8.283714828155819e-07,0.9999998757298296,0.0958847229003447,1.002594635116997,0.9971265545707584,0.0010716805413056,-0.001304627045924,-0.0034446521176848,0.5054610970716815
72,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,9.442423626622842e-07,0.9999998592425775,0.107493280865659,1.0026297655476215,0.997816326445016,0.001144111417539,0.0378115957534191,-0.0035389509411906,0.0007644329753999
73,73,73,0.9863013698630136,98630136,0.9863013698630136,1.9726027397260273,7.209362535136377e-07,0.999999892811538,0.0810952470045829,1.0018720968701338,0.9976231694291556,0.0009996795901369,-0.001753017138117,-0.0034512421463468,0.5055450859393271
74,2*37,74,0.4864864864864865,48648647,0.4864864748648646,0.9729729497297295,9.336667476711469e-07,0.999999862506336,0.1040584135775661,1.002807262283953,0.9983996615865956,0.001136704295201,0.0376779882037718,-0.0033806896045345,0.0004707619429932
75,3*5,15,0.5333333333333333,53333332,0.5333333253333332,1.0666666506666664,8.444268031663648e-07,0.9999998761410782,0.0939848369077871,1.0025557660650898,0.9984766310724636,0.0010811526883915,0.0134438782272128,-0.0039162046153871,0.4009584371605808
76,2*19,38,0.47368421052631576,47368420,0.473684204736842,0.9473684094736839,8.585316715307767e-07,0.9999998748070984,0.0953372471203805,1.0025005247720082,0.9982550651591088,0.0010902819876353,0.0390331528133183,-0.0037668465964548,0.0004600761878978
77,7*11,77,0.7792207792207793,77922077,0.7792207777922078,1.5584415555844155,8.207774719223515e-07,0.9999998816093368,0.1111206596046264,1.0022369808045557,0.9976852762657034,0.0010667323369582,0.0040868075300159,-0.0038350894105523,0.4300874728887079
78,2*3*13,78,0.3076923076923077,30769229,0.3076922830769228,0.6153845661538457,6.356110719250685e-07,0.9999999085725698,0.0800723411000134,1.0024423588179128,0.9982868627933972,0.0009388521632147,0.0373719328774664,-0.0040491200241004,0.0007461183195019
